beatid;melid;chord;Root_pitch;chord_info;chord_map;triad;added_note
36752;134;Gm7b5;G;m7b5;-7b5;half;m7
36754;134;C79b;C;79b;7;M;m7
36756;134;F-;F;-;-;-;none
36758;134;Gm7b5;G;m7b5;-7b5;half;m7
36760;134;F-;F;-;-;-;none
36762;134;Bb-6;A#;-6;-6;-;6
36764;134;F-;F;-;-;-;none
36768;134;C7;C;7;7;M;m7
36770;134;F-;F;-;-;-;none
36772;134;F-7;F;-7;-7;-;m7
36776;134;Bb79#;A#;79#;7;M;m7
36780;134;Ebj7;D#;j7;j7;M;j7
36784;134;Ebj7;D#;j7;j7;M;j7
36788;134;Eb-7;D#;-7;-7;-;m7
36792;134;Ab79#;G#;79#;7;M;m7
36796;134;Dbj7;C#;j7;j7;M;j7
36800;134;Gm7b5;G;m7b5;-7b5;half;m7
36802;134;C79b;C;79b;7;M;m7
36804;134;F-;F;-;-;-;none
36806;134;Gm7b5;G;m7b5;-7b5;half;m7
36808;134;F-;F;-;-;-;none
36810;134;Bb-6;A#;-6;-6;-;6
36812;134;F-;F;-;-;-;none
36816;134;Gm7b5;G;m7b5;-7b5;half;m7
36818;134;C79b;C;79b;7;M;m7
36820;134;F-;F;-;-;-;none
36822;134;Gm7b5;G;m7b5;-7b5;half;m7
36824;134;F-;F;-;-;-;none
36826;134;Bb-6;A#;-6;-6;-;6
36828;134;F-;F;-;-;-;none
36832;134;C7;C;7;7;M;m7
36834;134;F-;F;-;-;-;none
36836;134;F-;F;-;-;-;none
36838;134;Gm7b5;G;m7b5;-7b5;half;m7
36840;134;F-;F;-;-;-;none
36850;135;NC;N;No Chord;C;none;none
36854;135;Bb7;A#;7;7;M;m7
36870;135;Eb7;D#;7;7;M;m7
36878;135;Bb7;A#;7;7;M;m7
36886;135;C-7;C;-7;-7;-;m7
36890;135;F7;F;7;7;M;m7
36894;135;Bb7;A#;7;7;M;m7
36902;135;Bb7;A#;7;7;M;m7
36918;135;Eb7;D#;7;7;M;m7
36926;135;Bb7;A#;7;7;M;m7
36934;135;C-7;C;-7;-7;-;m7
36938;135;F7;F;7;7;M;m7
36942;135;Bb7;A#;7;7;M;m7
36950;135;Bb7;A#;7;7;M;m7
36966;135;Eb7;D#;7;7;M;m7
36974;135;Bb7;A#;7;7;M;m7
36982;135;C-7;C;-7;-7;-;m7
36986;135;F7;F;7;7;M;m7
36990;135;Bb7;A#;7;7;M;m7
36998;135;Bb7;A#;7;7;M;m7
37014;135;Eb7;D#;7;7;M;m7
37022;135;Bb7;A#;7;7;M;m7
37030;135;C-7;C;-7;-7;-;m7
37034;135;F7;F;7;7;M;m7
37038;135;Bb7;A#;7;7;M;m7
37046;135;Bb7;A#;7;7;M;m7
37051;136;NC;N;No Chord;C;none;none
37058;136;F7;F;7;7;M;m7
37062;136;Bb7;A#;7;7;M;m7
37066;136;F7;F;7;7;M;m7
37074;136;Bb7;A#;7;7;M;m7
37082;136;F7;F;7;7;M;m7
37090;136;G-7;G;-7;-7;-;m7
37098;136;F7;F;7;7;M;m7
37100;136;D-7;D;-7;-7;-;m7
37102;136;G-7;G;-7;-7;-;m7
37104;136;C7;C;7;7;M;m7
37106;136;F7;F;7;7;M;m7
37110;136;Bb7;A#;7;7;M;m7
37114;136;F7;F;7;7;M;m7
37122;136;Bb7;A#;7;7;M;m7
37130;136;F7;F;7;7;M;m7
37138;136;G-7;G;-7;-7;-;m7
37139;136;NC;N;No Chord;C;none;none
37142;137;NC;N;No Chord;C;none;none
37146;137;Ebj7;D#;j7;j7;M;j7
37154;137;Am7b5;A;m7b5;-7b5;half;m7
37158;137;D7;D;7;7;M;m7
37162;137;Ebj7;D#;j7;j7;M;j7
37170;137;Gm7b5;G;m7b5;-7b5;half;m7
37174;137;C7;C;7;7;M;m7
37178;137;F7;F;7;7;M;m7
37186;137;F-7;F;-7;-7;-;m7
37190;137;Bb7;A#;7;7;M;m7
37194;137;G-7;G;-7;-7;-;m7
37198;137;F#-7;F#;-7;-7;-;m7
37202;137;F-7;F;-7;-7;-;m7
37206;137;Bb7;A#;7;7;M;m7
37210;137;Ebj7;D#;j7;j7;M;j7
37218;137;Am7b5;A;m7b5;-7b5;half;m7
37222;137;D7;D;7;7;M;m7
37226;137;Ebj7;D#;j7;j7;M;j7
37234;137;Gm7b5;G;m7b5;-7b5;half;m7
37238;137;C7;C;7;7;M;m7
37240;137;C7;C;7;7;M;m7
37242;137;F7;F;7;7;M;m7
37250;137;F-7;F;-7;-7;-;m7
37254;137;Bb7;A#;7;7;M;m7
37256;137;Bb7;A#;7;7;M;m7
37258;137;F-7;F;-7;-7;-;m7
37262;137;Ab-7;G#;-7;-7;-;m7
37264;137;Db7;C#;7;7;M;m7
37266;137;Eb6;D#;6;6;M;6
37270;137;F-7;F;-7;-7;-;m7
37272;137;Bb7;A#;7;7;M;m7
37274;137;Ebj7;D#;j7;j7;M;j7
37282;137;Am7b5;A;m7b5;-7b5;half;m7
37286;137;D7;D;7;7;M;m7
37290;137;Ebj7;D#;j7;j7;M;j7
37298;137;Gm7b5;G;m7b5;-7b5;half;m7
37302;137;C7;C;7;7;M;m7
37304;137;C7;C;7;7;M;m7
37306;137;F7;F;7;7;M;m7
37314;137;F-7;F;-7;-7;-;m7
37318;137;Bb7;A#;7;7;M;m7
37320;137;Bb7;A#;7;7;M;m7
37322;137;G-7;G;-7;-7;-;m7
37326;137;F#-7;F#;-7;-7;-;m7
37330;137;F-7;F;-7;-7;-;m7
37334;137;Bb7;A#;7;7;M;m7
37338;137;Ebj7;D#;j7;j7;M;j7
37346;137;Am7b5;A;m7b5;-7b5;half;m7
37350;137;D7;D;7;7;M;m7
37352;137;D7;D;7;7;M;m7
37354;137;Ebj7;D#;j7;j7;M;j7
37362;137;Gm7b5;G;m7b5;-7b5;half;m7
37366;137;C7;C;7;7;M;m7
37368;137;C7;C;7;7;M;m7
37370;137;F7;F;7;7;M;m7
37378;137;F-7;F;-7;-7;-;m7
37382;137;Bb7;A#;7;7;M;m7
37384;137;Bb7;A#;7;7;M;m7
37386;137;F-7;F;-7;-7;-;m7
37390;137;Ab-7;G#;-7;-7;-;m7
37392;137;Db7;C#;7;7;M;m7
37394;137;Eb6;D#;6;6;M;6
37395;137;NC;N;No Chord;C;none;none
37398;138;NC;N;No Chord;C;none;none
37399;138;Gm7b5;G;m7b5;-7b5;half;m7
37403;138;C+7;C;+7;+7;+;m7
37407;138;Fm7b5;F;m7b5;-7b5;half;m7
37411;138;Bb+7;A#;+7;+7;+;m7
37415;138;Dm7b5;D;m7b5;-7b5;half;m7
37419;138;G+7;G;+7;+7;+;m7
37423;138;Cj7;C;j7;j7;M;j7
37431;138;Gm7b5;G;m7b5;-7b5;half;m7
37435;138;C+7;C;+7;+7;+;m7
37439;138;Fm7b5;F;m7b5;-7b5;half;m7
37443;138;Bb+7;A#;+7;+7;+;m7
37447;138;Dm7b5;D;m7b5;-7b5;half;m7
37451;138;G+7;G;+7;+7;+;m7
37455;138;Cj7;C;j7;j7;M;j7
37463;138;C-7;C;-7;-7;-;m7
37467;138;F7;F;7;7;M;m7
37471;138;Bbj7;A#;j7;j7;M;j7
37479;138;Ab7;G#;7;7;M;m7
37487;138;G7;G;7;7;M;m7
37495;138;Gm7b5;G;m7b5;-7b5;half;m7
37499;138;C+7;C;+7;+7;+;m7
37503;138;Fm7b5;F;m7b5;-7b5;half;m7
37507;138;Bb+7;A#;+7;+7;+;m7
37511;138;Dm7b5;D;m7b5;-7b5;half;m7
37515;138;G+7;G;+7;+7;+;m7
37519;138;Cj7;C;j7;j7;M;j7
37527;139;F-;F;-;-;-;none
37529;139;Gm7b5;G;m7b5;-7b5;half;m7
37531;139;F-/Ab;F;-/Ab;-;-;none
37533;139;Bb-6;A#;-6;-6;-;6
37535;139;F-/C;F;-/C;-;-;none
37539;139;Gm7b5;G;m7b5;-7b5;half;m7
37541;139;C7;C;7;7;M;m7
37543;139;F-;F;-;-;-;none
37545;139;Gm7b5;G;m7b5;-7b5;half;m7
37547;139;F-/Ab;F;-/Ab;-;-;none
37549;139;Bb-6;A#;-6;-6;-;6
37551;139;F-/C;F;-/C;-;-;none
37555;139;Gm7b5;G;m7b5;-7b5;half;m7
37557;139;F-;F;-;-;-;none
37559;139;F-7;F;-7;-7;-;m7
37561;139;Gm7b5;G;m7b5;-7b5;half;m7
37563;139;F-/Ab;F;-/Ab;-;-;none
37565;139;Bb-6;A#;-6;-6;-;6
37567;139;F-/C;F;-/C;-;-;none
37571;139;Gm7b5;G;m7b5;-7b5;half;m7
37573;139;C7;C;7;7;M;m7
37575;139;F-;F;-;-;-;none
37577;139;Gm7b5;G;m7b5;-7b5;half;m7
37579;139;F-/Ab;F;-/Ab;-;-;none
37581;139;Bb-6;A#;-6;-6;-;6
37583;139;F-/C;F;-/C;-;-;none
37587;139;Gm7b5;G;m7b5;-7b5;half;m7
37589;139;F-;F;-;-;-;none
37591;139;F-7;F;-7;-7;-;m7
37595;139;Bb79#;A#;79#;7;M;m7
37599;139;Ebj7;D#;j7;j7;M;j7
37607;139;Eb-7;D#;-7;-7;-;m7
37611;139;Ab79#;G#;79#;7;M;m7
37615;139;Dbj7;C#;j7;j7;M;j7
37619;139;Gm7b5;G;m7b5;-7b5;half;m7
37621;139;C79b;C;79b;7;M;m7
37623;139;F-7;F;-7;-7;-;m7
37625;139;Gm7b5;G;m7b5;-7b5;half;m7
37627;139;F-/Ab;F;-/Ab;-;-;none
37629;139;Bb-6;A#;-6;-6;-;6
37631;139;F-/C;F;-/C;-;-;none
37635;139;Gm7b5;G;m7b5;-7b5;half;m7
37637;139;C7;C;7;7;M;m7
37639;139;F-;F;-;-;-;none
37641;139;Gm7b5;G;m7b5;-7b5;half;m7
37643;139;F-/Ab;F;-/Ab;-;-;none
37645;139;Bb-6;A#;-6;-6;-;6
37647;139;F-/C;F;-/C;-;-;none
37651;139;C7;C;7;7;M;m7
37653;139;F-;F;-;-;-;none
37655;139;F-7;F;-7;-7;-;m7
37657;139;Gm7b5;G;m7b5;-7b5;half;m7
37659;139;F-/Ab;F;-/Ab;-;-;none
37661;139;Bb-6;A#;-6;-6;-;6
37663;139;F-/C;F;-/C;-;-;none
37667;139;Gm7b5;G;m7b5;-7b5;half;m7
37669;139;C7;C;7;7;M;m7
37671;139;F-;F;-;-;-;none
37673;139;Gm7b5;G;m7b5;-7b5;half;m7
37675;139;F-/Ab;F;-/Ab;-;-;none
37677;139;Bb-6;A#;-6;-6;-;6
37679;139;F-/C;F;-/C;-;-;none
37683;139;Gm7b5;G;m7b5;-7b5;half;m7
37685;139;F-;F;-;-;-;none
37687;139;F-7;F;-7;-7;-;m7
37689;139;Gm7b5;G;m7b5;-7b5;half;m7
37691;139;F-/Ab;F;-/Ab;-;-;none
37693;139;Bb-6;A#;-6;-6;-;6
37695;139;F-/C;F;-/C;-;-;none
37699;139;Gm7b5;G;m7b5;-7b5;half;m7
37701;139;C7;C;7;7;M;m7
37703;139;F-;F;-;-;-;none
37705;139;Gm7b5;G;m7b5;-7b5;half;m7
37707;139;F-/Ab;F;-/Ab;-;-;none
37709;139;Bb-6;A#;-6;-6;-;6
37711;139;F-/C;F;-/C;-;-;none
37715;139;Gm7b5;G;m7b5;-7b5;half;m7
37717;139;F-;F;-;-;-;none
37719;139;F-7;F;-7;-7;-;m7
37723;139;Bb79#;A#;79#;7;M;m7
37727;139;Ebj7;D#;j7;j7;M;j7
37735;139;Eb-7;D#;-7;-7;-;m7
37739;139;Ab79#;G#;79#;7;M;m7
37743;139;Dbj7;C#;j7;j7;M;j7
37747;139;Gm7b5;G;m7b5;-7b5;half;m7
37749;139;C79b;C;79b;7;M;m7
37751;139;F-7;F;-7;-7;-;m7
37753;139;Gm7b5;G;m7b5;-7b5;half;m7
37755;139;F-/Ab;F;-/Ab;-;-;none
37757;139;Bb-6;A#;-6;-6;-;6
37759;139;F-/C;F;-/C;-;-;none
37763;139;Gm7b5;G;m7b5;-7b5;half;m7
37765;139;C7;C;7;7;M;m7
37767;139;F-;F;-;-;-;none
37769;139;Gm7b5;G;m7b5;-7b5;half;m7
37771;139;F-/Ab;F;-/Ab;-;-;none
37773;139;Bb-6;A#;-6;-6;-;6
37775;139;F-/C;F;-/C;-;-;none
37779;139;C7;C;7;7;M;m7
37781;139;F-;F;-;-;-;none
37783;139;NC;N;No Chord;C;none;none
37787;140;Db6;C#;6;6;M;6
37789;140;Bb7;A#;7;7;M;m7
37791;140;Eb-7;D#;-7;-7;-;m7
37793;140;Bb79b;A#;79b;7;M;m7
37795;140;Eb-7;D#;-7;-7;-;m7
37797;140;D7;D;7;7;M;m7
37799;140;Dbj7;C#;j7;j7;M;j7
37801;140;Gb7;F#;7;7;M;m7
37803;140;F-7;F;-7;-7;-;m7
37805;140;Eo7;E;o7;o7;o;o7
37807;140;Eb-7;D#;-7;-7;-;m7
37811;140;Cm7b5;C;m7b5;-7b5;half;m7
37813;140;F7;F;7;7;M;m7
37815;140;Bb-7;A#;-7;-7;-;m7
37816;140;Eb7;D#;7;7;M;m7
37817;140;Eb-7;D#;-7;-7;-;m7
37818;140;Ab7;G#;7;7;M;m7
37819;140;Db6;C#;6;6;M;6
37821;140;Bb7;A#;7;7;M;m7
37823;140;Eb-7;D#;-7;-7;-;m7
37825;140;Bb79b;A#;79b;7;M;m7
37827;140;Eb-7;D#;-7;-7;-;m7
37829;140;D7;D;7;7;M;m7
37831;140;Dbj7;C#;j7;j7;M;j7
37833;140;Gb7;F#;7;7;M;m7
37835;140;F-7;F;-7;-7;-;m7
37837;140;Eo7;E;o7;o7;o;o7
37839;140;Eb-7;D#;-7;-7;-;m7
37843;140;Cm7b5;C;m7b5;-7b5;half;m7
37845;140;F7;F;7;7;M;m7
37847;140;Bb-7;A#;-7;-7;-;m7
37848;140;Eb7;D#;7;7;M;m7
37849;140;Eb-7;D#;-7;-7;-;m7
37850;140;Ab7;G#;7;7;M;m7
37851;140;Db;C#;;;M;none
37853;140;A7;A;7;7;M;m7
37855;140;Dj7;D;j7;j7;M;j7
37857;140;E-7;E;-7;-7;-;m7
37859;140;D;D;;;M;none
37861;140;G-7;G;-7;-7;-;m7
37862;140;C7;C;7;7;M;m7
37863;140;F#-7;F#;-7;-7;-;m7
37864;140;B-7;B;-7;-7;-;m7
37865;140;E-7;E;-7;-7;-;m7
37866;140;A7;A;7;7;M;m7
37867;140;Dj7;D;j7;j7;M;j7
37871;140;D-7;D;-7;-7;-;m7
37873;140;G7;G;7;7;M;m7
37875;140;Cj7;C;j7;j7;M;j7
37877;140;Ebo;D#;o;o;o;none
37879;140;D-7;D;-7;-7;-;m7
37881;140;G7;G;7;7;M;m7
37883;140;C7;C;7;7;M;m7
37884;140;B7;B;7;7;M;m7
37885;140;Bb7;A#;7;7;M;m7
37887;140;Eb-7;D#;-7;-7;-;m7
37889;140;Bb79b;A#;79b;7;M;m7
37891;140;Eb-7;D#;-7;-7;-;m7
37893;140;D7;D;7;7;M;m7
37895;140;Dbj7;C#;j7;j7;M;j7
37897;140;Gb7;F#;7;7;M;m7
37899;140;F-7;F;-7;-7;-;m7
37901;140;Eo7;E;o7;o7;o;o7
37903;140;Eb-7;D#;-7;-7;-;m7
37907;140;Cm7b5;C;m7b5;-7b5;half;m7
37909;140;F7;F;7;7;M;m7
37911;140;Bb-7;A#;-7;-7;-;m7
37912;140;Eb7;D#;7;7;M;m7
37913;140;Eb-7;D#;-7;-7;-;m7
37914;140;Ab7;G#;7;7;M;m7
37915;140;Db6;C#;6;6;M;6
37917;140;Bb7;A#;7;7;M;m7
37919;140;Eb-7;D#;-7;-7;-;m7
37921;140;Bb79b;A#;79b;7;M;m7
37923;140;Eb-7;D#;-7;-7;-;m7
37925;140;D7;D;7;7;M;m7
37927;140;Dbj7;C#;j7;j7;M;j7
37929;140;Gb7;F#;7;7;M;m7
37931;140;F-7;F;-7;-7;-;m7
37933;140;Eo7;E;o7;o7;o;o7
37935;140;Eb-7;D#;-7;-7;-;m7
37939;140;Cm7b5;C;m7b5;-7b5;half;m7
37941;140;F7;F;7;7;M;m7
37943;140;Bb-7;A#;-7;-7;-;m7
37944;140;Eb7;D#;7;7;M;m7
37945;140;Eb-7;D#;-7;-7;-;m7
37946;140;Ab7;G#;7;7;M;m7
37947;140;Db6;C#;6;6;M;6
37949;140;Bb7;A#;7;7;M;m7
37951;140;Eb-7;D#;-7;-7;-;m7
37953;140;Bb79b;A#;79b;7;M;m7
37955;140;Eb-7;D#;-7;-7;-;m7
37957;140;D7;D;7;7;M;m7
37959;140;Dbj7;C#;j7;j7;M;j7
37961;140;Gb7;F#;7;7;M;m7
37963;140;F-7;F;-7;-7;-;m7
37965;140;Eo7;E;o7;o7;o;o7
37967;140;Eb-7;D#;-7;-7;-;m7
37971;140;Cm7b5;C;m7b5;-7b5;half;m7
37973;140;F7;F;7;7;M;m7
37975;140;Bb-7;A#;-7;-7;-;m7
37976;140;Eb7;D#;7;7;M;m7
37977;140;Eb-7;D#;-7;-7;-;m7
37978;140;Ab7;G#;7;7;M;m7
37979;140;Db;C#;;;M;none
37981;140;A7;A;7;7;M;m7
37983;140;Dj7;D;j7;j7;M;j7
37985;140;E-7;E;-7;-7;-;m7
37987;140;D;D;;;M;none
37989;140;G-7;G;-7;-7;-;m7
37990;140;C7;C;7;7;M;m7
37991;140;F#-7;F#;-7;-7;-;m7
37992;140;B-7;B;-7;-7;-;m7
37993;140;E-7;E;-7;-7;-;m7
37994;140;A7;A;7;7;M;m7
37995;140;Dj7;D;j7;j7;M;j7
37999;140;D7;D;7;7;M;m7
38001;140;G7;G;7;7;M;m7
38003;140;Cj7;C;j7;j7;M;j7
38005;140;Ebo;D#;o;o;o;none
38007;140;D-7;D;-7;-7;-;m7
38009;140;G7;G;7;7;M;m7
38011;140;C7;C;7;7;M;m7
38012;140;B7;B;7;7;M;m7
38013;140;Bb7;A#;7;7;M;m7
38015;140;Eb-7;D#;-7;-7;-;m7
38017;140;Bb79b;A#;79b;7;M;m7
38019;140;Eb-7;D#;-7;-7;-;m7
38021;140;D7;D;7;7;M;m7
38023;140;Dbj7;C#;j7;j7;M;j7
38025;140;Gb7;F#;7;7;M;m7
38027;140;F-7;F;-7;-7;-;m7
38029;140;Eo7;E;o7;o7;o;o7
38031;140;Eb-7;D#;-7;-7;-;m7
38035;140;Cm7b5;C;m7b5;-7b5;half;m7
38037;140;F7;F;7;7;M;m7
38039;140;Bb-7;A#;-7;-7;-;m7
38040;140;Eb7;D#;7;7;M;m7
38041;140;Eb-7;D#;-7;-7;-;m7
38042;140;Ab7;G#;7;7;M;m7
38043;140;Db6;C#;6;6;M;6
38045;140;Bb7;A#;7;7;M;m7
38047;141;F7;F;7;7;M;m7
38051;141;Bb7;A#;7;7;M;m7
38055;141;F7;F;7;7;M;m7
38063;141;Bb7;A#;7;7;M;m7
38071;141;F7;F;7;7;M;m7
38079;141;G-7;G;-7;-7;-;m7
38083;141;C7;C;7;7;M;m7
38087;141;F7;F;7;7;M;m7
38089;141;D-7;D;-7;-7;-;m7
38091;141;G-7;G;-7;-7;-;m7
38093;141;C7;C;7;7;M;m7
38095;141;F7;F;7;7;M;m7
38099;141;Bb7;A#;7;7;M;m7
38103;141;F7;F;7;7;M;m7
38111;141;Bb7;A#;7;7;M;m7
38119;141;F7;F;7;7;M;m7
38127;141;G-7;G;-7;-7;-;m7
38131;141;C7;C;7;7;M;m7
38135;141;F7;F;7;7;M;m7
38137;141;D-7;D;-7;-7;-;m7
38139;141;G-7;G;-7;-7;-;m7
38141;141;C7;C;7;7;M;m7
38143;141;F7;F;7;7;M;m7
38144;142;NC;N;No Chord;C;none;none
38147;142;Db7;C#;7;7;M;m7
38151;142;Gb7;F#;7;7;M;m7
38153;142;Go;G;o;o;o;none
38155;142;Db;C#;;;M;none
38157;142;Db7;C#;7;7;M;m7
38159;142;Bb-7;A#;-7;-7;-;m7
38161;142;Db7;C#;7;7;M;m7
38163;142;Gb7;F#;7;7;M;m7
38169;142;Go;G;o;o;o;none
38171;142;Db7;C#;7;7;M;m7
38177;142;Ao;A;o;o;o;none
38179;142;Ab7;G#;7;7;M;m7
38183;142;Gb7;F#;7;7;M;m7
38187;142;Db7;C#;7;7;M;m7
38195;142;NC;N;No Chord;C;none;none
38196;143;NC;N;No Chord;C;none;none
38198;143;Db7;C#;7;7;M;m7
38202;143;Gb7;F#;7;7;M;m7
38204;143;Go;G;o;o;o;none
38206;143;Db7;C#;7;7;M;m7
38214;143;Gb7;F#;7;7;M;m7
38220;143;Go;G;o;o;o;none
38222;143;Db7;C#;7;7;M;m7
38226;143;Bb-;A#;-;-;-;none
38228;143;Eb7;D#;7;7;M;m7
38230;143;Ab7;G#;7;7;M;m7
38234;143;Gb7;F#;7;7;M;m7
38238;143;Db7;C#;7;7;M;m7
38246;143;NC;N;No Chord;C;none;none
38247;144;C-7;C;-7;-7;-;m7
38248;144;NC;N;No Chord;C;none;none
38249;144;NC;N;No Chord;C;none;none
38250;144;NC;N;No Chord;C;none;none
38251;144;F7;F;7;7;M;m7
38255;144;Bbj7;A#;j7;j7;M;j7
38257;144;G7;G;7;7;M;m7
38259;144;C-7;C;-7;-7;-;m7
38261;144;F7;F;7;7;M;m7
38263;144;Bbj7;A#;j7;j7;M;j7
38271;144;A-7;A;-7;-7;-;m7
38273;144;Abo;G#;o;o;o;none
38275;144;G-7;G;-7;-7;-;m7
38277;144;D7/F#;D;7/F#;7;M;m7
38279;144;G-7;G;-7;-7;-;m7
38287;144;D-7;D;-7;-7;-;m7
38289;144;Dbo;C#;o;o;o;none
38291;144;C-7;C;-7;-7;-;m7
38293;144;Bo7;B;o7;o7;o;o7
38295;144;C-7;C;-7;-7;-;m7
38299;144;F7;F;7;7;M;m7
38303;144;Bbj7;A#;j7;j7;M;j7
38305;144;Ab7;G#;7;7;M;m7
38307;144;G7;G;7;7;M;m7
38311;144;Cj7;C;j7;j7;M;j7
38315;144;C-7;C;-7;-7;-;m7
38319;144;F7;F;7;7;M;m7
38323;144;C-7;C;-7;-7;-;m7
38325;144;F7;F;7;7;M;m7
38327;144;Bbj7;A#;j7;j7;M;j7
38335;144;A-7;A;-7;-7;-;m7
38337;144;Abo;G#;o;o;o;none
38339;144;G-7;G;-7;-7;-;m7
38341;144;Gbo;F#;o;o;o;none
38343;144;G-7;G;-7;-7;-;m7
38351;144;D-7;D;-7;-7;-;m7
38353;144;Dbo;C#;o;o;o;none
38355;144;C-7;C;-7;-7;-;m7
38357;144;Bo;B;o;o;o;none
38359;144;C-7;C;-7;-7;-;m7
38363;144;F7;F;7;7;M;m7
38367;144;Bbj7;A#;j7;j7;M;j7
38369;144;Ab7;G#;7;7;M;m7
38371;144;G7;G;7;7;M;m7
38375;144;C-7;C;-7;-7;-;m7
38379;144;F7;F;7;7;M;m7
38383;144;Bbj7;A#;j7;j7;M;j7
38385;144;G7;G;7;7;M;m7
38387;144;C-7;C;-7;-7;-;m7
38389;144;F7;F;7;7;M;m7
38391;144;Bbj7;A#;j7;j7;M;j7
38395;145;NC;N;No Chord;C;none;none
38397;145;Gj7;G;j7;j7;M;j7
38405;145;Bb-7;A#;-7;-7;-;m7
38409;145;Eb7;D#;7;7;M;m7
38413;145;Gj7;G;j7;j7;M;j7
38421;145;B-7;B;-7;-7;-;m7
38425;145;E79b;E;79b;7;M;m7
38429;145;A-7;A;-7;-7;-;m7
38433;145;E79b;E;79b;7;M;m7
38437;145;A-7;A;-7;-7;-;m7
38445;145;Eb7;D#;7;7;M;m7
38453;145;NC;N;No Chord;C;none;none
38461;146;NC;N;No Chord;C;none;none
38469;146;F/C;F;/C;;M;none
38471;146;Dbo;C#;o;o;o;none
38473;146;D-;D;-;-;-;none
38475;146;G-7;G;-7;-7;-;m7
38477;146;C7;C;7;7;M;m7
38479;146;G-7;G;-7;-7;-;m7
38480;146;C7;C;7;7;M;m7
38481;146;Fj7;F;j7;j7;M;j7
38487;146;A7;A;7;7;M;m7
38489;146;D-7;D;-7;-7;-;m7
38491;146;Dbo;C#;o;o;o;none
38493;146;C7;C;7;7;M;m7
38495;146;G-7;G;-7;-7;-;m7
38496;146;C7;C;7;7;M;m7
38497;146;Fj7;F;j7;j7;M;j7
38501;146;F/C;F;/C;;M;none
38503;146;Dbo;C#;o;o;o;none
38505;146;D-7;D;-7;-7;-;m7
38507;146;G-7;G;-7;-7;-;m7
38509;146;C7;C;7;7;M;m7
38511;146;G-7;G;-7;-7;-;m7
38512;146;C7;C;7;7;M;m7
38513;146;Fj7;F;j7;j7;M;j7
38517;146;A7;A;7;7;M;m7
38521;146;D-7;D;-7;-7;-;m7
38523;146;Dbo;C#;o;o;o;none
38525;146;C7;C;7;7;M;m7
38529;146;F;F;;;M;none
38531;146;F7;F;7;7;M;m7
38533;146;Bb;A#;;;M;none
38537;146;Eb;D#;;;M;none
38539;146;C-7;C;-7;-7;-;m7
38541;146;F7;F;7;7;M;m7
38543;146;C-7;C;-7;-7;-;m7
38544;146;F7;F;7;7;M;m7
38545;146;Bb;A#;;;M;none
38551;146;Do;D;o;o;o;none
38553;146;Ebj7;D#;j7;j7;M;j7
38555;146;Ab7;G#;7;7;M;m7
38557;146;Bb;A#;;;M;none
38559;146;F;F;;;M;none
38561;146;Bb;A#;;;M;none
38562;146;F;F;;;M;none
38563;146;G7;G;7;7;M;m7
38564;146;C7;C;7;7;M;m7
38565;146;C/F;C;/F;;M;none
38567;146;Dbo;C#;o;o;o;none
38569;146;D-7;D;-7;-7;-;m7
38571;146;G-7;G;-7;-7;-;m7
38573;146;C7;C;7;7;M;m7
38577;146;Fj7;F;j7;j7;M;j7
38581;146;A7;A;7;7;M;m7
38585;146;D-7;D;-7;-7;-;m7
38589;146;C7;C;7;7;M;m7
38591;146;G-7;G;-7;-7;-;m7
38592;146;C7;C;7;7;M;m7
38593;146;Fj7;F;j7;j7;M;j7
38600;146;NC;N;No Chord;C;none;none
38601;147;Gm7b5;G;m7b5;-7b5;half;m7
38605;147;C79b;C;79b;7;M;m7
38609;147;Fj7;F;j7;j7;M;j7
38617;147;G-7;G;-7;-7;-;m7
38621;147;C7;C;7;7;M;m7
38625;147;Fj7;F;j7;j7;M;j7
38633;147;Gm7b5;G;m7b5;-7b5;half;m7
38637;147;C79b;C;79b;7;M;m7
38641;147;Fj7;F;j7;j7;M;j7
38645;147;B-7;B;-7;-7;-;m7
38647;147;E7;E;7;7;M;m7
38649;147;Aj7;A;j7;j7;M;j7
38653;147;B-7;B;-7;-7;-;m7
38655;147;E7;E;7;7;M;m7
38657;147;Aj7;A;j7;j7;M;j7
38665;147;G-7;G;-7;-7;-;m7
38669;147;C7;C;7;7;M;m7
38673;147;Fj7;F;j7;j7;M;j7
38681;147;Am7b5;A;m7b5;-7b5;half;m7
38685;147;D79b;D;79b;7;M;m7
38689;147;G7;G;7;7;M;m7
38693;147;C7;C;7;7;M;m7
38697;147;Gm7b5;G;m7b5;-7b5;half;m7
38701;147;C79b;C;79b;7;M;m7
38705;147;Fj7;F;j7;j7;M;j7
38709;147;Am7b5;A;m7b5;-7b5;half;m7
38711;147;D7;D;7;7;M;m7
38713;147;G7;G;7;7;M;m7
38717;147;G-7;G;-7;-7;-;m7
38719;147;C7;C;7;7;M;m7
38721;147;F6;F;6;6;M;6
38729;147;Gm7b5;G;m7b5;-7b5;half;m7
38733;147;C79b;C;79b;7;M;m7
38737;147;Fj7;F;j7;j7;M;j7
38745;147;G-7;G;-7;-7;-;m7
38749;147;C7;C;7;7;M;m7
38753;147;Fj7;F;j7;j7;M;j7
38761;147;Gm7b5;G;m7b5;-7b5;half;m7
38765;147;C79b;C;79b;7;M;m7
38769;147;Fj7;F;j7;j7;M;j7
38773;147;B-7;B;-7;-7;-;m7
